Date,Raffreddore
2018-09-10,4
2018-09-11,7
2018-09-12,4
2018-09-13,11
2018-09-14,7
2018-09-15,6
2018-09-16,7
2018-09-17,6
2018-09-18,13
2018-09-19,15
2018-09-20,9
2018-09-21,8
2018-09-22,9
2018-09-23,10
2018-09-24,8
2018-09-25,8
2018-09-26,21
2018-09-27,4
2018-09-28,8
2018-09-29,9
2018-09-30,9
2018-10-01,11
2018-10-02,11
2018-10-03,8
2018-10-04,11
2018-10-05,12
2018-10-06,9
2018-10-07,11
2018-10-08,20
2018-10-09,10
2018-10-10,14
2018-10-11,11
2018-10-12,12
2018-10-13,17
2018-10-14,11
2018-10-15,14
2018-10-16,19
2018-10-17,8
2018-10-18,6
2018-10-19,8
2018-10-20,7
2018-10-21,6
2018-10-22,6
2018-10-23,22
2018-10-24,10
2018-10-25,12
2018-10-26,7
2018-10-27,11
2018-10-28,3
2018-10-29,11
2018-10-30,8
2018-10-31,8
2018-11-01,6
2018-11-02,9
2018-11-03,4
2018-11-04,8
2018-11-05,7
2018-11-06,5
2018-11-07,13
2018-11-08,5
2018-11-09,11
2018-11-10,4
2018-11-11,11
2018-11-12,8
2018-11-13,5
2018-11-14,7
2018-11-15,5
2018-11-16,7
2018-11-17,10
2018-11-18,10
2018-11-19,6
2018-11-20,14
2018-11-21,9
2018-11-22,10
2018-11-23,8
2018-11-24,15
2018-11-25,5
2018-11-26,18
2018-11-27,6
2018-11-28,11
2018-11-29,8
2018-11-30,10
2018-12-01,15
2018-12-02,6
2018-12-03,14
2018-12-04,17
2018-12-05,9
2018-12-06,6
2018-12-07,9
2018-12-08,5
2018-12-09,6
